id,title,slug,parent,ancestors,author,publish_date,expiry_date,enabled,status,name,content,seo
702,"Basics of data protection and privacy",basic-background-reading-on-data-protection-in-india,,,admin,2018-06-01,,Yes,live,"Akash Kumar Singh, Tanya Aggarwal, Mahimna Kandpal","<p><strong><em>""What is personal data?""</em></strong><br /></p>
<p>Data that can be used to identify an individual qualifies as personal data. </p>
<p><strong><em>""What can be done with it?""</em></strong></p>
<p>Personal data today has immense power and value. It can be collected, processes, stored or disseminated. Data protection is the mechanism by which laws provide rights to individuals over their personal data, restrict misuse and breach of privacy. </p>
<p><strong><em>""Should I worry about the apps on my smartphone? They would not do anything wrong, would they?""</em></strong></p>
<p>That's not the point. We can trust our smartphones and governments better with accountability and rights. Data is power and we should always be the ones in control. So, if you do not have a right over your own personal data, a lot of decisions regarding you will be made without your consent, choice or knowledge. </p>
<p><strong><em>""Is our privacy protected?""</em></strong></p>
<p>Last year a nine-judge bench of the Supreme Court unanimously held that all our fundamental rights link to the right to privacy. It repeatedly stated that in our tech driven, digital world of blockchains, big data and algorithms, it is essential for the government to make a data protection law to protect our privacy. </p>
<p>Sadly, at present there is no comprehensive legislation on data protection in India. To fill in this vacuum a draft citizen's law, titled as the, ""India Privacy Code, 2018"" has been put forth on <a href=""http://www.saveourprivacy.in"">www.saveourprivacy.in</a> for debate, discussion and endorsement. </p>
<p><em><strong>""A lot seems to be happening on privacy recently. What's going on ?""</strong></em></p>
<p>Since 2006, many attempts to draft a data protection and privacy law in India have been made. <strong>The Personal Data Protection Bill</strong> tabled in the Parliament in 2006 and drafted on the general framework of the European Union Data Privacy Directive, 1996 was one such attempt.<br /></p>
<p>Subsequently, the Planning Commission constituted a committee was chaired by former Delhi High Court <strong>Chief Justice AP Shah</strong>. It published a 9-point focused <a href=""http://planningcommission.nic.in/reports/genrep/rep_privacy.pdf"">Report of the Group of Experts on Privacy </a> in 2012 but no effective follow up was taken up until last year.</p>
<p>In about the past 12 months we have witnessed a plethora of debates on data protection In India.</p>
<ul><li>Aadhaar data leak and connected identity frauds </li><li>The <a href=""https://supremecourtofindia.nic.in/supremecourt/2012/35071/35071_2012_Judgement_24-Aug-2017.pdf"">Right to Privacy Judgement </a> of the Apex Court of India, </li><li>The <a href=""https://drive.google.com/file/d/17TtAus02yNK8SFcvBdqmX3Fo28DXVi4L/view"">white paper</a> released by the the<strong> Justice Shri B N Srikrishna committee </strong>set up by the Government of India and its anticipated draft law recommendations to the Ministry of Electronics and IT, </li><li>The Snowden revelations of Cambridge Analytica, </li><li>The <a href=""https://www.eugdpr.org/"">EU General Data Protection Regulation</a>, </li><li>The <a href=""https://www.trai.gov.in/sites/default/files/Consultation_Paper%20_on_Privacy_Security_ownership_of_data_09082017.pdf"">Consultation Paper</a> on Privacy, Security and Ownership of the Data in the Telecom Sector.</li><li>Parliamentary Standing Committee on IT starts discussing data privacy and security.</li></ul><p>However even today we have no clear indication on a user rights focussed data protection law in India. </p>
<p>
</p>
<p><strong><em>""I want to read more on privacy and data protection. Can you share some links?""</em></strong></p>
<ul><li>Visit <a href=""http://www.privacyisaright.in"">www.privacyisaright.in</a> for a summary of the Justice Srikrishna Committee White Paper and a lawyers submissions advocating for user rights (<a href=""http://www.privacyisaright.in/"">Link</a>)</li><li>Final Text of EU GDPR Neatly Arranged (<a href=""https://gdpr-info.eu/"">Link</a>) </li><li>OECD Principles (<a href=""http://oecdprivacy.org/"">Link</a>) </li><li>Comments on the Justice Srikrishna Committee White Paper On Data Protection (<a href=""http://privacyisaright.in/comments-on-the-justice-srikrishna-committee-white-paper-on-data-protection/"">Link</a>) </li><li>Internet Freedom Foundation's blogposts on privacy (<a href=""https://internetfreedom.in/"">Link</a>)</li></ul><p><em>Psst.. This post was authored by volunteers who believe in the values of a open and free internet. If you have ideas for public engagement and want to volunteer your time for this campaign please do get in touch with us at contact@saveourprivacy.in </em></p>",
856,"How does #SaveOurPrivacy deal with Aadhaar?",how-does-the-indian-privacy-code-2018-deal-with-aadhaar,,,admin,2018-06-08,,Yes,live,"Apar Gupta","<p><img src=""https://saveourprivacy.in/media/all/save-our-privacy.svg"" alt=""save-our-privacy.svg#asset:22"" /><br /></p>
<p><strong>It shuts it down. Read on.</strong><br /></p>
<p>Privacy and data protection is a wide subject which has various facets. We highlighted in <a href=""https://internetfreedom.in/saveourprivacy-launches-a-community-project-powered-by-iff/"">our presser</a> that one of the recurring problems facing us is Aadhaar. We used the specific language of, ""policy fix"" to go beyond meaningless, artificial reform to challenging the very basis of Aadhaar. This was as per the drafting exercise carried over weeks which is explained and set out in this post. </p>
<p>To us several fundamental features of Aadhaar as per the Aadhaar Act, 2018 are : 
</p>
<ol><li>Mandatory use due to statutory language and administrative practice</li><li>It is a universal digital ID not tied to any specific purpose</li><li>It relies on biometrics which are an incredibly sensitive form of data</li><li>It results in mass surveillance as a precondition to availing essential services
</li><li>Due to its architecture it makes people vulnerable to data breaches and identity thefts
</li></ol><p>The <a href=""https://saveourprivacy.in/bill"">Indian Privacy Code, 2018</a> will attempt to prevent these ""features"" to operate against us. </p>
<p>The first thing to consider is that the <a href=""https://saveourprivacy.in/bill"">Indian Privacy Code, 2018</a> is a comprehensive data protection statute that overrides all existing legislations [<strong>Refer Section 85</strong>]. Hence, it will apply over and above the Aadhaar Act, 2016. We have inserted specific statutory language that the Privacy Commission which will have powers to issue orders to the UIDAI [<strong>Refer Section 53</strong>]. Hence, privacy and data protections under the Indian Privacy Code will be given first preference in the pecking order.<br /></p>
<ul><li>The Privacy Code has the consent framework deeply baked within it (<strong>Section 3(5)</strong>). This is illustrated in several provisions for meaningful consent beyond the ineffective terms of services and privacy policies [<strong>Sections 7, 8, 9, 10 and 12</strong>]. It requires people are explained what data is being parted, what are the consequences of it, and maintain the continuing power of the individual. More importantly, it clearly demarcates a statutory option for people to refuse their consent. This undercuts the Aadhaar Act but more importantly the administrative practices which have resulted in making it mandatory. 
</li></ul><ul><li>The Indian Privacy Code is built off <a href=""https://saveourprivacy.in/principles"">seven progressive privacy principles</a> including use and purpose limitation in the collection and processing of data. Hence, it will limit universal, purposeless digital forms of identification such as Aadhaar or severely curtail its application which has seen unrestricted use (<strong>Sections 7(3), 10(2), 15</strong>). We specifically need to improve language on this and request help. 
</li></ul><ul><li>The Indian Privacy Code classifies biometrics as a heightened class of sensitive personal data. We have given specific regulatory power on this to the Privacy Commission (<strong>Section 19(2)</strong>). Again, existing statutory language under the Indian Privacy Code, 2018 will lean towards prohibiting the use of biometrics by the UIDAI for purposeless use, or authorisation channels as is done through its network. 
</li></ul><ul><li>The Indian Privacy Code has several provisions against (a) machine learning or algorithmic systems that determine legal entitlements (<strong>Section 27</strong>); and (b) a specific bar to denial of essential services (<strong>Section 13</strong>). All these provisions will override any provisions, interpretations under the Aadhaar Act or notifications under any other laws which make it a precondition for essential services, benefits and subsidies. 
</li></ul><ul><li>The Indian Privacy Code has pro-active breach notification obligations (<strong>Section 16(4)</strong>) and penalty provisions for data breaches (<strong>Section 73</strong>). This applies equally to private parties and statutory bodies such as the UIDAI (<strong>Section 2(1)(l)</strong>).</li></ul><p><strong>An Appeal</strong></p>
<p>We acknowledge the Indian Privacy Code, 2018 is not perfect text. </p>
<p>That is why we keep going back to the <a href=""https://saveourprivacy.in/principles"">Seven Privacy Principles</a> to guide us and continue to request suggestions on improving language which recognises user rights over personal data.</p>
<p>We also need to state it clearly : The Indian Privacy Code, 2018 is wider effort on protecting privacy and data protection. Also, it is not against all forms of digital IDs that can be privacy compliant under the <a href=""https://saveourprivacy.in/principles"">Seven Privacy Principles</a>. We believe it is possible for technology to work for people while they still retain power and control over it. Clearly, Aadhaar in its present form and its core features is fundamentally incompatible with the Indian Privacy Code, 2018 but more importantly the <a href=""https://saveourprivacy.in/principles"">Seven Principles</a> which have gone into its framing. 
</p>
<p>We also note that any Aadhaar repeal act limited to expressly repealing the Aadhaar Act may be an effort worth consideration and are open to conversation, support and collaboration on it. We welcome any such measure by people but again undertake and promise that the <a href=""https://saveourprivacy.in/bill"">Indian Privacy Code, 2018</a> and the <a href=""https://saveourprivacy.in/principles"">Seven Privacy Principles</a> are incompatible with Aadhaar. Help us articulate them better. </p><p><br /></p><p><em>Psst.. This post was authored by a volunteer to promote greater conversation on data protection. If you have ideas for public engagement and want to volunteer your time for this campaign please do get in touch with us at <a href=""mailto:contact@saveourprivacy.in"" class=""enkoded-mailto"">contact@saveourprivacy.in</a></em><br /></p><p><br /></p>",
1069,"Why women need a data protection law : Online shopping carts, pregnancy apps to their online presence itself",why-women-need-a-data-protection-law,,,admin,2018-06-11,,Yes,live,"Pragati Sharma","<p>It often happens that before I post something on my Instagram profile, which happens to be private, I wonder not only about how it will be perceived by others (a usual side effect of being a social media user) but also how it another person can simply take a screenshot and share or use it without my consent. Hypocritically enough, sometimes, I do, too. Even though photo sharing based social media apps alert the user when someone takes a screen grab of the post (Instagram and Snapchat stories), however, the same does nothing to deter sharing and subsequent use of the screen grab.</p>
<p><img src=""https://saveourprivacy.in/media/all/Untitled.jpeg"" alt=""Untitled.jpeg#asset:1066"" /><br /></p>
<p>In this age and time, the expectation of privacy has reduced, both online and offline. In public we are constantly under surveillance in one way or another, be it Credit Card swipes or CCTV Cameras in public places. One knows that the data we share online, odds are that not only it can be viewed by people who do not have direct access to it, but also stored, shared, and used in many ways to target the data sharer as a user, consumer and a citizen. </p>
<p>However, the expectation of reduced privacy does not forgo at the same time, the very expectation of privacy. This is at the core of the doctrine of informational self-determination in which privacy continues to exist for a person despite its reduced expectation. This applies especially for women as several studies and experts have concluded. 
 </p>
<p><strong>Experts and studies</strong></p>
<p>According to a study conducted by the University of Washington to assess the perception of privacy in a public place, especially where the surveillance is not related to security, ‘<em>women are more concerned than men about their privacy,</em> <em>both as watcher and the watched.</em>’ Furthermore, ‘<em>A majority of men and women interviewed said they would be uncomfortable with having their images recorded, as opposed to being used in a real-time display. The study also shows almost twice as many women as men voicing concern about even real-time display of their images</em>.’
 </p>
<p>It is no secret that online profiles of users are studied for their information in order to provide more individualised experience within the platform. The demographics are stored and used to observe, predict, and manipulate the user behaviour. The incident involving Facebook and Cambridge Analytica is only the most recent example of how user demographics was used to predict and manipulate behaviour. Women from the age of 18-49 are considered a highly valued demographic in terms of internet marketing opportunities. Consider the example of iVillage, cited by Erik Larson in the New Yorker, where a pregnant woman can enter her due date and receive a calendar showing day by day what's likely to be happening inside her body. Women with overlapping calendars are directed to a ""<em>Pregnancy Circle</em>"" an online support group where they can trade advice and concerns and are simultaneously prompted to purchase items such as books from Amazon.com, baby goods from iVillage's iBaby, and maternity clothes from iVillage's iMaternity. 
 </p>
<p>How many times have you filled your online shopping cart with all the things you liked while browsing, but did not complete the purchase and after a few hours received an email from the said website for “<em>abandoning your cart</em>” or something more sentimental, “<em>your cart misses you.</em>” Or when you see an advertisement of a detox tea to shed the last 5 pounds, because you happened to Google a celebrity’s diet secrets, or simply because you subscribe to a health and wellness website. 
 </p>
<p>If one compares the prospects that online marketing and shopping holds to a coal mine, websites that target female users are mining diamonds from the proverbial coal mine. </p>
<p>Professor Ann Bartow of the University Of New Hampshire School Of Law, in <em>Our Data, Ourselves: Privacy, Propertization, and Gender, </em>opines that “<em>unregulated online data collection is a threat to all consumers. Because women do most of the shopping, and most of the ""sharing,"" in meet space, and their presence is increasing in cyberspace, they are most vulnerable to the slings and arrows of online consumer profilers</em>.” She further argues that collection of information online is of ""<em>singular importance to women.</em>” </p>
<p>This is primarily because women control the spending habits and patterns of their households, making them a special target for collection of information and profiling on the basis of the data collected. Bartow argues that online data collection needs to be regulated in order to prevent women from being targeted.</p>
<p><strong>Working towards some solutions</strong></p>
<p>The irony remains that if you want better, more individualised services, you need to share information that is personal, and if you do, you are a target and another valuable chunk of data to internet based marketing. 
 </p>
<p>According to Ana Brandusescu, a Research and Policy Officer at the Web Foundation, “<em>the link between these topics and gender might not appear obvious at first glance; gender plays a significant role in the design and implementation of technology, online privacy, and data protection. In turn, how technology is deployed, how online privacy is protected, and how data is collected and used all impact women differently than men.</em>”
 </p>
<p>However, in the case of women, the expectation of privacy is not limited to online shopping demographics, but also extends to digital security. In case of women, there is threat to their emotional and mental wellbeing. There are so many instances where prominent female activists became targets of online smear campaigns, bullying and gender based harassment, and in many cases forced to shut down given the disturbing and sexually abusive nature of the threats by cyber mobs. 
 </p>
<p>Anita L Allen, Professor of Law at the University of Pennsylvania, in her paper Gender and Privacy in Cyberspace says, “<em>A woman-centred perspective on privacy in cyberspace is vital because only with such a perspective can we begin to evaluate how the advent of the personal computer and global networking, conjoined with increased opportunity for women, has affected the privacy predicament that once typified many American women's lives</em>.”
 </p>
<p>Working towards solutions that dismantle patriarchy based cultures is hard. A data protection law is not a silver bullet which will take care of these deep, cultural issues. But it holds a promise that it can return back control to people, especially women online. While the Indian Privacy Code, 2018 is far from a perfect, <a href=""https://saveourprivacy.in/principles"">the seven principles by focussing on protecting the autonomy of an individual</a> are a modest guide to how a data protection law may be able to deal with some of the problems most women face online on social media.</p>
<p><em>Psst.. This post was authored by a volunteer to promote greater conversation on data protection. If you have ideas for public engagement and want to volunteer your time for this campaign please do get in touch with us at <a href=""mailto:contact@saveourprivacy.in"" class=""enkoded-mailto"">contact@saveourprivacy.in</a></em><br /></p>",
1279,"Handy 4 page summary of the Indian Privacy Code",handy-4-page-summary-of-the-indian-privacy-code,,,admin,2018-06-18,,Yes,live,"Antaraa Vasudev","<p>Antaraa Vasudev from <a href=""http://civis.vote/"">http://civis.vote/</a> has created a handy 4 page summary of the Seven Privacy Principles and the Indian Privacy Code, 2018. This summary comes with infographics on data rights and the regulatory structure. <a href=""https://saveourprivacy.in/media/all/Indian-Privacy-Code_Summary_SaveOurPrivacy.in.pdf"" target=""_blank"" rel=""noreferrer noopener"">Click here to download</a> and please do share it with your friends and family. </p><img src=""https://saveourprivacy.in/media/all/Indian-Privacy-Code-2018_Know-Your-Data-Rights_SaveOurPrivacy.in-1.png"" alt=""Indian-Privacy-Code-2018_Know-Your-Data-Rights_SaveOurPrivacy.in-1.png#asset:1277"" /><p><br /></p>",
1280,"What Should India's Data Privacy Regulator Look Like?",what-should-indias-data-privacy-regulator-look-like,,,admin,2018-06-18,,Yes,live,"Maansi Verma","<p><em>""</em><em>Multiple scandals involving Facebook and Cambridge Analytica have made one thing clear – the failure of market forces to uphold privacy and protect user data. As long as there is demand for data, coupled with weak enforcement of laws, our privacy and data will remain vulnerable in the hands of private players. But it’s not just the private sector, the Edward Snowden revelations were the key to unearthing the extent to which surveillance is entrenched in the systems of government which, in the absence of reform, will only expose our privacy and data to greater risk.</em></p>
<p><em>These are the fundamental concerns which justify the presence of a strong privacy regulator with effective independence and functional powers to enforce compliance. The regulator must necessarily prioritise user privacy above everything else because of the power dynamics and information asymmetry present today in how our data is treated.....""</em></p><p><a href=""https://thewire.in/tech/what-should-indias-data-privacy-regulator-look-like"" target=""_blank"" rel=""noreferrer noopener"">Read more at the Wire</a>. </p>",
1281,"A community-driven project has proposed a model privacy bill for India that puts citizens first",a-community-driven-project-has-proposed-a-model-privacy-bill-for-india-that-puts-citizens-first,,,admin,2018-06-14,,Yes,live,"Raman Jit Singh Chima","<p>""A lot seems to be happening on debating data protection in India but actually, very little is happening to protect people’s rights to privacy and secure their data. For over nine months, a very specific debate has taken place on the shape the legal framework for privacy and personal data should take. Much of this has been channeled towards a particular policy development process – an expert committee chaired by retired Supreme Court judge BN Srikrishna....""</p><p><a href=""https://scroll.in/article/882634/a-community-driven-project-has-proposed-a-model-privacy-bill-for-india-that-puts-citizens-first"" target=""_blank"" rel=""noreferrer noopener"">Read more at Scroll.in</a></p>",
1291,"Help us translate the 7 privacy principles!",help-us-translate-the-7-privacy-principles,,,admin,2018-06-19,,Yes,live,"Tanya Aggarwal","<p>India is indeed a big country and we pride ourselves on our diversity. In a democracy, the voice of each individual matters. And we realise how important it is for us to reach out to each and everyone of you and your friends out there. We are aware that you all speak different languages and you best relate when spoken to in your mother tongue.</p>
<p>We, at Save Our Privacy, are looking for volunteers who are fluent in Indian Languages other than English. We invite you to help us translate our material, especially the the <a href=""https://saveourprivacy.in/principles"">Seven Privacy Principles</a> and a <a href=""https://saveourprivacy.in/blog/handy-4-page-summary-of-the-indian-privacy-code"">Summary</a>. If you are willing or know someone who would be willing to join us to take forward this cause, kindly write to us at contact@saveourprivacy.in</p><p>Volunteer your time and skills for this community movement to safeguard privacy and protect people from harmful use of their personal data. </p>
",
9248,"Translations ahoy! ",translations-ahoy,,,admin,2018-06-29,,Yes,live,"Apar Gupta","<p>There is little doubt that the internet helps large groups of people come together. But quite often social media is criticised as being of little social use. Cynics would classify online conversation within categories of chatter on celebrity and pop culture, posting the next hot meme, engaging in the cycles of online social outrage or even cheering for our favourite sports team. While this only makes us human, even overt attempts of online activism are discounted as lacking authenticity, diversity and impact. We have some limited evidence to the contrary. </p>
<p>A little over two weeks ago we put out a call on social media for people to volunteer their skills and time to create Indian language versions of the 7 privacy principles and a summary of the Indian Privacy Code, 2018. More than 27 people wrote in, which is a growing number as we continue to receive emails everyday. Strangers over the internet have put in time, collaborated and created versions of the<a href=""https://saveourprivacy.in/principles""> 7 privacy principles</a><a href=""https://saveourprivacy.in/blog/help-us-translate-the-7-privacy-principles""></a> in Bengali, Hindi, Khasi, Marathi, and Tamil. Many more have conducted peer reviews, and even volunteered to create versions in Kannada, Malayalam, Telugu and Urdu. </p>
<p>Anjani Pandey volunteered a week back and yesterday sent across a <a href=""https://docs.google.com/document/d/19p5Wz10IIS4j5EizNteqV4X7sV0CisTf_H8ZwPEDM3U/edit?usp=sharing"" target=""_blank"" rel=""noreferrer noopener"">Hindi version of the summary of the Indian Privacy Code, 2018</a>. Just have a look at the amount of time, energy and commitment it would have taken to create the translation. Even this original summary of the lengthy Indian Privacy Code, 2018 was created by the work and creativity <a href=""https://saveourprivacy.in/blog/handy-4-page-summary-of-the-indian-privacy-code"" target=""_blank"" rel=""noreferrer noopener"">volunteered by Antaraa Vasudev</a>. </p>
<p>Anjani and Anatara like many others, have stepped up and supported the cause of privacy and data protection in India. They are no longer strangers but those who have volunteered just like the lawyers and policy experts who initially drafted the I<a href=""https://saveourprivacy.in/bill"">ndian Privacy Code, 2018</a>. Due to the annotation tool more than 59 comments, many containing strong criticism will help us improve this model draft. We value this growing belief in our shared mission to #SaveOurPrivacy that is uniting people from diverse identities, backgrounds and regions in India. </p>
<p>We hope you consider endorsing the 7 privacy principles and advancing a public demand for a strong, effective privacy law in India. Please do write in to us, we try to respond to every email and comment. We will continue to learn and adapt. Reach across to us on contact@saveourprivacy.in </p>",
10540,"Statement of solidarity - RTI and RTP activists",statement-of-solidarity-rti-and-rtp-activists,,,admin,2018-07-27,,Yes,live,"Multiple Individuals and Organisations ","<p>A day long workshop on the issues of the Right to Information (RTI), the Right to Privacy (RTP), the proposed data protection legislation and their intersections was held on 17th July 2018. The consultation was attended by members of various peoples' campaigns and movements, researchers, legal scholars and citizens interested in, and affected by, issues pertaining to transparency and privacy.</p>
<p>This workshop was organised in the light of the government’s doublespeak on the rights to information and privacy. <a href=""https://thewire.in/politics/rti-narendra-modi-college-degree"">Privacy is cited by the government to deny information crucial to hold those in power to account</a> while, at the same time, privacy is <a href=""https://timesofindia.indiatimes.com/india/No-fundamental-right-to-privacy-to-citizens-Centre-tells-SC/articleshow/48171323.cms"">denied to citizens when it comes to collecting excessive information for projects such as Aadhaar</a>.
</p>
<p>As a statement of solidarity within the civil society among those promoting the rights to information and privacy, the following resolutions were passed:
</p>
<ul><li>The citizens' Rights to Information and Privacy are both fundamental rights under the Constitution of India and the State must protect, promote and fulfill both these rights to further democratic values and protect constitutional freedoms.
</li><li>There is a need for legislation on Privacy and Data Protection in order to adequately protect the privacy of citizens and protections in such a law should be oriented on the rights of natural persons and extend against both State and non-State actors.
</li><li>This <a href=""https://drive.google.com/file/d/1by386E8-goxwUCCCP80KdGI3x4ItzIXA/view?usp=sharing"">legal framework for giving effect to citizens' right to privacy should emerge from a pre-legislative consultative process</a> so that the relevant legislation incorporates concerns of the wide set of stakeholders that such a law will inevitably affect.
</li><li>Neither the recognition of the Right to Privacy nor the legislation of a privacy and data protection law requires any amendment to the RTI Act. The legal framework for privacy and data protection should complement the RTI Act and in no way undermine existing statutory framework that enables citizens to use transparency for holding power structures to account.
</li></ul><p>These resolutions are endorsed by the National Campaign for the Peoples’ Right to Information (NCPRI), SaveOurPrivacy, IT for Change and Rethink Aadhaar. </p>
<p><em>Please note that saveourprivacy.in volunteers are signatories to this statement and hosting it here for ease for other individuals and organisations. We are collaborators to this effort and working in the spirit of solidarity and alliance. If any person or organisation has any thoughts on this or wishes to contact for endorsement please contact any of the signatory organisations that are indicated above. </em></p>",
10591,"Initial statement on Justice Srikrishna Committee Report",initial-statement-on-justice-srikrishna-committee-report,,,admin,2018-07-27,,Yes,live,"SaveOurPrivacy Team","<p>The Expert Committee chaired by Retd. Justice B.N. Srikrishna submitted its <a href=""http://meity.gov.in/writereaddata/files/Data_Protection_Committee_Report.pdf"">176 page report</a> to the Minister of Electronics and Information Technology at 1600 Hrs on 27 July 2018 (today). The Committee also submitted a draft of the legislation on data protection titled, ‘<a href=""http://meity.gov.in/writereaddata/files/Personal_Data_Protection_Bill%2C2018_0.pdf"">The Personal Data Protection Bill, 2018</a>’. After weeks of secrecy, <a href=""https://www.thequint.com/news/india/srikrishna-committee-on-data-protection-rti-denied"">denial of information in RTIs</a> about the proceedings of the Committee, the report as well as the draft legislation have now been placed in public domain. It is a welcome step to see a comprehensive data protection and privacy framework finally publicly proposed for India - home to over 1/5th of the world’s population and the second largest internet user base.<br /></p>
<p>In the August last year, a month after the constitution of this <a href=""https://economictimes.indiatimes.com/news/politics-and-nation/justice-bn-srikrishna-to-head-committee-for-data-protection-framework/articleshow/59866006.cms"">ten-membered committee</a>, the Supreme Court had delivered its landmark<em> Puttaswamy</em> judgment interpreting the right to privacy as a fundamental right. The judgment was expected to work as the guiding principle of the experts’ committee. It is our hope that the bill provides a substantive manifestation of the fundamental right to privacy and plugs the hole in Indian legal framework where no effective data protections rights, regulation, and remedy exist. 
</p>
<p>Now that the report and the Bill have been submitted to the Ministry, it will consider the bill, perhaps make amendments and then may choose to bring the bill to Parliament - for enactment. It remains to be seen whether the Ministry places the Bill in the on-going Monsoon session of Parliament or not. The onus now lies on the Union executive and eventually the Parliament of India to provide our nation a comprehensive data protection and privacy framework. Having said that, it is important that a thorough and transparent public consultation is now undertaken on the Draft Bill before it is passed by Parliament. The Government is mandated to do so under its own Pre-Legislative Consultation Policy of 2014. 
</p>
<p>While the development of a data protection framework in India is encouraging, many gaps reveal themselves in the current documents submitted by this government committee:
</p>
<ol><li>Many exceptions for processing of data by the government can be seen. This seems to dilute the rights of the citizens with respect to their data vis a vis the the State. 
</li><li>There is a dire need for surveillance law reform in India. It was our hope that this effort would provide a comprehensive framework overhauling surveillance and interception in India - in consonance with the international standards on necessary and proportionate principles, along with providing proper judicial scrutiny. However, the report and bill does not seem to provide substantive changes in the surveillance regime in India.
</li><li>As noted in an official dissent by certain members of the committee, Rishikesha T. Krishnan and Rama Vedashree, the provisions for keeping a copy of all data in India is concerning. This move towards data localisation takes away from the open character of our global internet and is disproportionate to the benefits (if any) it would achieve. 
</li></ol><p>We would like to point out that there have been previous attempts at proposing laws for protection of data and privacy, including expert recommendations like the <a href=""http://planningcommission.nic.in/reports/genrep/rep_privacy.pdf"">Report of Group of experts on Privacy under Justice AP Shah</a> and the draft bill prepared internally within the Union Government across 2011-2015. There have also been attempts in the past to reform our intelligence agencies with respect to their surveillance and interception functions, as well as place them under some form of legal oversight. But it isn’t clear how much of these past attempts have informed the proceedings of the current Committee and its recommendations. We are in the process of going through the bill and the report in a much more comprehensive manner. We shall be providing a detailed take on the bill as well as an evaluation of the bill when compared to the <a href=""https://saveourprivacy.in/principles"">seven privacy principles</a> proposed in the Indian Privacy Code, 2018.
</p>
<p>This is an important day for the nation - in its move towards securing the rights of its citizens. The report is not the end of the process, but instead marks the beginning of the development of a comprehensive data protection and privacy regulation in India. We hope to continue engaging with the government and our elected lawmakers, and continue the struggle to #SaveOurPrivacy. A strong privacy and data protection law must come into force before our next general election - this is a critical step to protect our increasingly digital democracy.
</p>",
